id,grupo,texto,opciones,normaDefault,correccionDefault,seccion,orden
AP_REQ_001,Requisitos Generales:,"1. Solicitud en formulario normalizado, dirigida al Director de Gestión de Ordenamiento Territorial o Patrimonio, según corresponda, suscrita por el o los propietarios y el profesional responsable. Cuando el propietario sea una persona jurídica, deberá estar suscrita por el representante legal.",Cumple|No Cumple,"Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,1
AP_REQ_002,Requisitos Generales:,2. Informe Predial de Regulaciones de Uso de Suelo (IPRUS vigente).,Cumple|No Cumple,"Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,2
AP_REQ_003,Requisitos Generales:,3. Copia simple de la escritura del inmueble inscrita en el Registro de la Propiedad.,Cumple|No Cumple,"Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,3
AP_REQ_004,Requisitos Generales:,4. Certificado de gravamen actualizado.,Cumple|No Cumple,"Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,4
AP_REQ_005,Requisitos Generales:,"5. Para edificaciones de hasta 2 pisos o 400 m² de área bruta, se deberá adjuntar la disponibilidad de servicios o la carta de pago correspondiente de agua potable, empresa eléctrica y telecomunicaciones.",Cumple|No Cumple,"Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,5
AP_REQ_006,Requisitos Generales:,"6. Un original físico y digital de la Propuesta Técnica del Anteproyecto de Edificación para la revisión de la propuesta. Una vez aprobada, deberán presentarse 2 originales adicionales.",Cumple|No Cumple,"Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,6
AP_REQ_007,Requisitos Generales:,7. Comprobante del pago de la tasa administrativa.,Cumple|No Cumple,"Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,7
AP_REQ_008,Requisitos Generales:,8. Copia del RUC y patente del profesional responsable.,Cumple|No Cumple,"Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,8
AP_REQ_009,Requisitos más de 2 pisos o 400 m2,"1. Para edificaciones mayores a 2 pisos o 400 m² de área bruta, se deberán adjuntar las factibilidades de servicios o los respectivos pagos de agua potable, empresa eléctrica y telecomunicaciones.",Cumple|No Cumple|No Aplica,"Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,9
AP_REQ_010,Requisitos Complementarios:,"1. Para edificaciones en zonas rurales se podrán plantear sistemas alternos, los cuales deberán ser aprobados previamente por la empresa correspondiente.",Cumple|No Cumple|No Aplica,"Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,10
AP_REQ_011,Requisitos Complementarios:,"2. En caso de copropiedad, designación de un representante común, que podrá realizarse en el formulario normalizado, mediante autorización con reconocimiento de firma y rúbrica o mediante poder.",Cumple|No Cumple|No Aplica,"Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,11
AP_REQ_012,Requisitos Complementarios:,"3. Para proyectos de ampliación o modificación de construcciones existentes: a) original o copia certificada de los planos arquitectónicos aprobados, o licencia urbanística con el plano arquitectónico habilitante; y b) memoria técnica justificativa de las modificaciones o ampliaciones y planos de la propuesta, conforme al artículo correspondiente.",Cumple|No Cumple|No Aplica,"Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,12
AP_REQ_013,Requisitos Complementarios:,"4. En el caso de edificaciones declaradas en propiedad horizontal, autorización de al menos el 75 % de los copropietarios.",Cumple|No Cumple|No Aplica,"Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,13
AP_PROP_001,1. Memoria técnica justificativa,"Presenta memoria técnica justificativa, salvo que corresponda a una edificación unifamiliar menor a 400 m² de área bruta.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 1",,PROPUESTA_ARQUITECTONICA,1
AP_PROP_002,2. Formato y entrega de planos,Los planos se presentan en formato A1 o A0 conforme a normas INEN.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2",,PROPUESTA_ARQUITECTONICA,2
AP_PROP_003,2. Formato y entrega de planos,Se entrega el archivo digital de la propuesta técnica.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2",,PROPUESTA_ARQUITECTONICA,3
AP_PROP_004,2.1. Ubicación,La ubicación abarca una zona de 300 m de radio.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.1",,PROPUESTA_ARQUITECTONICA,4
AP_PROP_005,2.1. Ubicación,La ubicación contiene la orientación correcta y los nombres de las calles.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.1",,PROPUESTA_ARQUITECTONICA,5
AP_PROP_006,2.1. Ubicación,"En áreas rurales, la ubicación está georreferenciada.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.1",,PROPUESTA_ARQUITECTONICA,6
AP_PROP_007,2.1. Ubicación,"Se identifica claramente el predio donde se implantará el proyecto, sin escala.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.1",,PROPUESTA_ARQUITECTONICA,7
AP_PROP_008,2.2. Levantamiento planimétrico y/o topográfico,"El levantamiento está georreferenciado en el sistema oficial UTM, WGS 84, zona 17, latitud Sur.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.2",,PROPUESTA_ARQUITECTONICA,8
AP_PROP_009,2.2. Levantamiento planimétrico y/o topográfico,"Se identifican las construcciones existentes, cuando corresponda.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.2",,PROPUESTA_ARQUITECTONICA,9
AP_PROP_010,2.2. Levantamiento planimétrico y/o topográfico,"Se identifican líneas de alta tensión, acequias, canales de riego y quebradas, con sus respectivos márgenes de protección, cuando corresponda.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.2",,PROPUESTA_ARQUITECTONICA,10
AP_PROP_011,2.2. Levantamiento planimétrico y/o topográfico,Se indican las dimensiones de los linderos.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.2",,PROPUESTA_ARQUITECTONICA,11
AP_PROP_012,2.2. Levantamiento planimétrico y/o topográfico,"En construcciones adosadas, se identifica el nivel de los terrenos colindantes.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 84, numeral 2.2",,PROPUESTA_ARQUITECTONICA,12
