id,grupo,texto,opciones,normaDefault,correccionDefault,seccion,orden
REQ_024,Requisitos Generales:,"1. Solicitud en formulario normalizado dirigida al Director de Gestión de Planificación, Hábitat y Desarrollo Urbanístico y suscrito por el propietario y los profesionales responsables de los planos y de la construcción",Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,1
REQ_025,Requisitos Generales:,2. Informe Predial de Regulaciones de Uso de Suelo (IPRUS vigente),Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,2
REQ_026,Requisitos Generales:,3. Copia simple de escritura o título de propiedad del inmueble inscrita en el Registro de la Propiedad,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,3
REQ_027,Requisitos Generales:,4. Certificado de Gravámenes Actualizado.,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,4
REQ_028,Requisitos Generales:,"5. Un original en físico y digital del proyecto Técnico de Edificación de Obra Mayor para efecto de revisión de la propuesta, una vez que la misma sea aprobada deberá presentarse 2 originales adicionales.",Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,5
REQ_029,Requisitos Generales:,6. Estudio estructural que incluya diseño estructural con memoria de cálculo.,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,6
REQ_030,Requisitos Generales:,7. Copia del RUC y patente del profesional responsable,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,7
REQ_031,Requisitos Generales:,8. Formulario de encuesta de edificaciones (permisos de construcción) proporcionado por el INEC,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,8
REQ_032,Requisitos Generales:,9. Certificado de aprobación de planos y factibilidad de los sistemas públicos de soporte emitidos por las dependencias competentes.,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,9
REQ_033,Requisitos más de 2 pisos o 400 m2,1. Aprobación del Anteproyecto de Edificación con sus respectivos habilitantes.,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,10
REQ_034,Requisitos más de 2 pisos o 400 m2,2. Estudios de ingeniería respectivos aprobados por las dependencias competentes.,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,11
REQ_035,Requisitos más de 2 pisos o 400 m2,3. Plano contra incendios aprobado por el Cuerpo de Bomberos.,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,12
REQ_036,Requisitos más de 2 pisos o 400 m2,4. Estudio geotécnico y/o mecánica de suelos conforme a la Norma Ecuatoriana de la Construcción.,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,13
REQ_038,Requisitos complementarios,"1. Cronograma de ejecución de obra, con base al cual se programarán las inspecciones de control de obra.",Cumple|No Cumple|No Aplica,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,14
